Region,Cuisine,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30,,
Asian,Vietnamese,cilantro,onion,shiitake,cayenne,garlic,bell_pepper,soybean,vegetable_oil,fish,lemongrass,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,shallot,black_pepper,fish,lime_juice,garlic,oyster,vegetable_oil,chicken,thai_pepper,lemongrass,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,turkey,green_bell_pepper,shiitake,black_pepper,scallion,vegetable_oil,rice,egg,fish,oyster,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,cilantro,beef,soy_sauce,lime_juice,orange,garlic,bell_pepper,basil,vegetable_oil,egg,fish,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,pea,cilantro,chicken_broth,lime_juice,ginger,scallion,carrot,bell_pepper,basil,chicken,rice,star_anise,lime,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,shallot,lime_juice,fish,cayenne,cucumber,pineapple,mint,roasted_beef,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,beef,soy_sauce,cayenne,white_wine,bean,macaroni,bell_pepper,garlic,mint,fish,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,cilantro,onion,shallot,radish,soy_sauce,cayenne,carrot,cucumber,fish,vegetable_oil,garlic,chicken,egg,star_anise,oyster,bread,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,cilantro,onion,shallot,fish,cayenne,shrimp,seed,garlic,vegetable_oil,tamarind,scallion,chicken_broth,wine,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,lime_juice,fish,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,cilantro,roasted_peanut,fish,scallion,carrot,basil,rice,mint,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cilantro,sesame_oil,starch,cayenne,fish,lime_juice,ginger,shrimp,lettuce,garlic,bell_pepper,crab,vegetable_oil,egg,thai_pepper,lime,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,cilantro,roasted_peanut,fish,cayenne,scallion,bean,carrot,garlic,rice,egg,corn,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,pork,lime_juice,fish,lettuce,seed,mint,lemongrass,cilantro,soy_sauce,cayenne,scallion,basil,vegetable_oil,rice,thai_pepper,pepper,bean,garlic,carrot,pineapple,cucumber,,,,,,,,,,
Asian,Vietnamese,shallot,chicken_broth,garlic,vegetable_oil,rice,turmeric,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,butter,cilantro,brussels_sprout,fish,cayenne,pepper,scallion,garlic,sesame_seed,mandarin_peel,vegetable_oil,rice,mint,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,pepper,lime_juice,corn,cayenne,grapefruit,garlic,pecan,cabbage,carrot,mint,soy_sauce,wine,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,soy_sauce,ginger,garlic,vegetable_oil,chicken,turmeric,star_anise,lime,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,papaya,roasted_peanut,fish,lime_juice,shrimp,carrot,garlic,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,roasted_peanut,lime_juice,fish,cayenne,ginger,carrot,garlic,basil,chicken,mint,cabbage,lime,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,cilantro,lemon_juice,meat,fish,black_pepper,ginger,garlic,chicken,soy_sauce,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,radish,fish,lime_juice,carrot,garlic,vegetable_oil,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,dill,roasted_peanut,cayenne,fish,lime_juice,scallion,garlic,pineapple,vegetable_oil,rice,turmeric,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,lemon,onion,beef,fish,ginger,scallion,lettuce,bean,garlic,beef_broth,star_anise,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,peanut_oil,cilantro,wheat,sesame_oil,beef,radish,fish,black_pepper,onion,ginger,cayenne,bean,carrot,garlic,basil,lemongrass,beef_broth,scallion,mint,star_anise,lime,,,,,,,,,,,
Asian,Vietnamese,olive_oil,cilantro,fish,lime_juice,ginger,shrimp,lettuce,cucumber,bell_pepper,scallion,mint,bread,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,lime_juice,fish,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,cilantro,onion,fish,cayenne,lettuce,carrot,vegetable_oil,chicken,rice,egg,soy_sauce,bread,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,fish,lime_juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,roasted_peanut,onion,shallot,soy_sauce,cayenne,garlic,soybean,vegetable_oil,lemongrass,thai_pepper,turmeric,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,pork,shallot,fish,black_pepper,mung_bean,vegetable_oil,rice,banana,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,palm,rice,mint,mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,coriander,fenugreek,pepper,onion,shallot,fish,cayenne,cilantro,ginger,cumin,carrot,garlic,sweet_potato,turmeric,basil,vegetable_oil,chicken,scallion,chicken_broth,coconut,lemongrass,,,,,,,,,,,
Asian,Vietnamese,cane_molasses,vinegar,cilantro,rice,tea,fish,lime_juice,shrimp,mango,macaroni,cucumber,scallion,mint,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,sesame_oil,soy_sauce,ginger,shrimp,carrot,garlic,bell_pepper,wine,basil,rice,lime,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,bean,cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,shallot,fish,black_pepper,scallion,garlic,catfish,vegetable_oil,chicken_broth,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cilantro,beef,chicken_broth,cayenne,scallion,rice,mint,star_anise,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,pepper,cilantro,ginger,shrimp,carrot,garlic,soybean,vegetable_oil,cabbage,rice,mint,thai_pepper,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,onion,lime_juice,fish,squid,tabasco_pepper,garlic,basil,tamarind,mint,cayenne,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,shallot,pork,lime_juice,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,beef,onion,fish,black_pepper,ginger,cinnamon,star_anise,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,cilantro,onion,beef,fish,black_pepper,ginger,scallion,bean,bone_oil,basil,rice,star_anise,thai_pepper,lime,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,vinegar,papaya,beef,soy_sauce,garlic,pork_liver,basil,wine,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Vietnamese,pork,onion,mushroom,starch,fish,black_pepper,scallion,bean,carrot,garlic,chicken,rice,egg,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,black_mustard_seed_oil,coconut,coconut_oil,fenugreek,fish,cayenne,pepper,ginger,cumin,mango,garlic,tomato,rice,seed,turmeric,,,,,,,,,,,,,,,,
Asian,Indian,butter,almond,cardamom,cashew,raisin,saffron,rice,milk,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cardamom,rice,lemon,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,tomato,coconut,wheat,okra,onion,black_mustard_seed_oil,cayenne,lime_juice,ginger,fenugreek,carrot,garlic,savory,rice,seed,turmeric,,,,,,,,,,,,,,,
Asian,Indian,butter,lemon_juice,cardamom,cayenne,cashew,raisin,cumin,black_pepper,cinnamon,yogurt,chicken,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,black_mustard_seed_oil,wheat,cashew,cayenne,cumin,ginger,seed,macaroni,tomato,garlic,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,lamb,cane_molasses,lemon_juice,onion,cardamom,black_pepper,almond,cayenne,cumin,ginger,garlic,cinnamon,vegetable_oil,yogurt,cashew,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,lime_juice,cayenne,ginger,garlic,yogurt,chicken,mint,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,yogurt,mint,cilantro,black_pepper,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,lamb,onion,cardamom,chicken_broth,black_pepper,cumin,ginger,bay,celery,garlic,tomato,vegetable_oil,white_wine,mint,turmeric,,,,,,,,,,,,,,,,
Asian,Indian,lemon_juice,black_pepper,cumin,orange,carrot,vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,vinegar,pork,cumin,garlic,oregano,lime,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,olive_oil,cilantro,cauliflower,potato,cumin,buttermilk,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,chicory,lemon_juice,beef,olive_oil,feta_cheese,pear,parsley,walnut,celery,barley,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,olive_oil,lemon_juice,parsley,celery,cucumber,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,olive_oil,cilantro,lemon_juice,cumin,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,coconut,onion,cayenne,cumin,ginger,cilantro,garlic,turmeric,vegetable_oil,lentil,rice,zucchini,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,potato,cayenne,cumin,ginger,shrimp,cilantro,garlic,turmeric,vegetable_oil,scallion,pea,lime,,,,,,,,,,,,,,,,,
Asian,Indian,onion,chicken_broth,almond,cayenne,ginger,garlic,vegetable_oil,rice,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cayenne,lemon,onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,tomato,coconut,onion,vinegar,turmeric,cayenne,cumin,ginger,shrimp,seed,coffee,cinnamon,sherry,garlic,tamarind,rice,vegetable_oil,,,,,,,,,,,,,,
Asian,Indian,butter,caraway,wheat,apple,vanilla,cider,seed,cinnamon,grape,mint,milk,cream,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,lemon,onion,cauliflower,potato,cayenne,cumin,ginger,garlic,vegetable_oil,turmeric,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,wheat,onion,vinegar,shallot,cayenne,black_pepper,cumin,ginger,garlic,cinnamon,vegetable_oil,chicken,turmeric,,,,,,,,,,,,,,,,
Asian,Indian,coriander,vegetable_oil,cilantro,cumin,turmeric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,lemon_juice,meat,cardamom,cumin,ginger,yogurt,garlic,bell_pepper,lard,vegetable,chicken,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,cumin,scallion,lettuce,yogurt,vegetable_oil,chicken,turmeric,egg,bread,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,olive_oil,pepper,onion,vinegar,chicken_broth,black_pepper,cumin,ginger,fenugreek,bell_pepper,yogurt,chicken,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,vegetable_oil,cayenne,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,cayenne,lime_juice,cumin,ginger,shrimp,mango,garlic,bell_pepper,yogurt,vegetable_oil,watercress,lime,,,,,,,,,,,,,,,,,,,
Asian,Indian,vegetable_oil,yeast,wheat,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,olive_oil,scallion,lime_juice,cumin,cayenne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,onion,cayenne,orange_juice,lime_juice,orange,mint,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,mint,cilantro,lemon_juice,cayenne,cumin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,shallot,apricot,cilantro,ginger,cumin,mango,vegetable_oil,chicken,rice,coconut,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,cane_molasses,vinegar,lemon_juice,onion,pear,raisin,ginger,vegetable_oil,cider,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,peanut_oil,pepper,mustard,onion,fenugreek,lime_peel_oil,chicken_broth,lime_juice,cumin,ginger,carrot,yogurt,seed,turmeric,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,wheat,cayenne,black_pepper,ginger,buttermilk,bell_pepper,vegetable_oil,chicken,turmeric,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,honey,cardamom,almond,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,wheat,cardamom,vanilla,pistachio,cinnamon,egg,cream,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,onion,cayenne,lime_juice,cumin,ginger,shrimp,turmeric,vegetable_oil,rice,coconut,lime,,,,,,,,,,,,,,,,,,
Asian,Indian,wheat,strawberry,cardamom,vanilla,milk_fat,lemon,wine,egg,milk,cream,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,wheat,vanilla,mango,cream_cheese,egg,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,olive_oil,lemon_juice,cumin,parsley,chickpea,cucumber,bell_pepper,garlic,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,ginger,cayenne,black_pepper,cumin,saffron,bell_pepper,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,tomato,onion,cardamom,lime_juice,black_pepper,cumin,ginger,garlic,bell_pepper,yogurt,chicken,mint,cinnamon,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,vinegar,lemon_juice,onion,olive_oil,cayenne,cumin,ginger,white_wine,mace,garlic,cinnamon,yogurt,nutmeg,chicken,turmeric,,,,,,,,,,,,,,,,
Asian,Indian,coriander,vinegar,cardamom,cumin,butter,turmeric,wine,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,cilantro,lemon_juice,shrimp,garlic,rice,zucchini,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,butter,cilantro,lemon_juice,onion,cayenne,black_pepper,cumin,saffron,garlic,ginger,yogurt,chicken,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,vinegar,olive_oil,black_pepper,cumin,ginger,garlic,bell_pepper,yogurt,chicken,cream,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,vinegar,papaya,apple,onion,cayenne,pear,ginger,black_pepper,bean,mango,pineapple,cider,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,olive_oil,onion,vinegar,raisin,cayenne,white_wine,mint,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,cayenne,lime_juice,ginger,scallion,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,lime_juice,cayenne,cumin,ginger,chickpea,cucumber,bell_pepper,yogurt,mint,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,coriander,pepper,lemon_juice,onion,beef,fenugreek,cinnamon,cumin,ginger,bay,milk_fat,garlic,bell_pepper,vegetable_oil,rice,milk,turmeric,,,,,,,,,,,,,,
Asian,Indian,turkey,coriander,pepper,onion,potato,lime_juice,cumin,ginger,fenugreek,carrot,garlic,vegetable_oil,coconut,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,ginger,mango,nutmeg,cinnamon,watermelon,mint,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,wheat,cardamom,vanilla,cocoa,milk_fat,egg,milk,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,olive_oil,wheat,onion,thyme,yeast,root,vinegar,black_pepper,honey,seed,macaroni,chive,sherry,egg,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,onion,lime_juice,cayenne,cumin,ginger,shrimp,garlic,mango,cucumber,vegetable_oil,nutmeg,turmeric,mint,seed,lime,,,,,,,,,,,,,,,,
Asian,Indian,coriander,kiwi,cucumber,fish,cayenne,cumin,ginger,mango,palm,vegetable_oil,yogurt,garlic,lime,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,coconut,lemon_juice,lemon,onion,chicken_broth,cayenne,bay,garlic,vegetable_oil,chicken,rice,lentil,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,lemon_juice,lemon,okra,onion,vegetable_oil,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,olive_oil,coconut,wheat,shallot,cayenne,chicken_broth,black_pepper,cumin,ginger,garlic,vegetable_oil,tamarind,rice,egg,fish,,,,,,,,,,,,,,,,
Asian,Indian,coriander,olive_oil,onion,cayenne,cumin,ginger,shrimp,garlic,tomato,rice,turmeric,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,cilantro,wheat,peach,onion,corn,cashew,lime_juice,pepper,zucchini,cumin,currant,bell_pepper,yogurt,vegetable_oil,cream,turmeric,,,,,,,,,,,,,,
Asian,Indian,coriander,coconut,onion,black_pepper,cayenne,cumin,garlic,nutmeg,cinnamon,crab,turmeric,vegetable_oil,rice,anise_seed,lime,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,cilantro,onion,potato,cumin,vegetable_oil,pea,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,coriander,pepper,clam,onion,fenugreek,cumin,shrimp,mango,turmeric,scallion,rice,cream,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,wheat,cardamom,vanilla,almond,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,black_pepper,cumin,cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,coconut,chicken_broth,lime_juice,cumin,ginger,scallion,cilantro,turmeric,pepper,chicken,lemongrass,lime,,,,,,,,,,,,,,,,,,
Asian,Indian,yogurt,cucumber,mint,cumin,cayenne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,tomato,cilantro,fish,cayenne,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coconut,passion_fruit,rum,vanilla,raisin,milk_fat,seed,cinnamon,rice,lime_peel_oil,milk,cream,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,butter,lemon_juice,cumin,ginger,garlic,bell_pepper,yogurt,chicken,turmeric,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,olive_oil,cilantro,lemon_juice,onion,garlic,bell_pepper,turmeric,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,lemon_juice,onion,salmon,parsley,rice,egg,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,wheat,cauliflower,olive_oil,feta_cheese,vinegar,cumin,ginger,white_wine,chickpea,carrot,vegetable,scallion,broccoli,turmeric,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,grape,cumin,ginger,scallion,lettuce,mango,orange_peel,yogurt,vegetable_oil,chicken,walnut,egg,turmeric,,,,,,,,,,,,,,,,
Asian,Indian,butter,wheat,onion,potato,cayenne,cumin,ginger,fennel,garlic,vegetable_oil,mint,turmeric,,,,,,,,,,,,,,,,,,,,
Asian,Indian,yogurt,cilantro,cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,onion,potato,cayenne,cumin,ginger,mango,tomato,yogurt,vegetable_oil,turmeric,egg,cinnamon,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,vinegar,celery_oil,cauliflower,corn,cumin,ginger,garlic,vegetable_oil,soy_sauce,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,cumin,ginger,tomato,vegetable_oil,egg,turmeric,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,lemon_juice,potato,shallot,ginger,vegetable_oil,egg,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cane_molasses,coriander,cilantro,lemon_juice,onion,apricot,orange_juice,lime_juice,lamb,bell_pepper,tamarind,cayenne,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,coriander,pepper,okra,onion,fenugreek,black_pepper,chicken_broth,cayenne,cumin,ginger,scallop,cilantro,garlic,vegetable_oil,rice,coconut,turmeric,,,,,,,,,,,,,,
Asian,Indian,butter,tomato,garlic,onion,shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,tomato,mustard,onion,potato,cayenne,cumin,vegetable_oil,turmeric,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,yogurt,honey,cucumber,mango,mint,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,olive_oil,cayenne,black_pepper,garlic,beet,yogurt,vegetable_oil,mint,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,cilantro,onion,cayenne,cumin,ginger,garlic,vegetable_oil,lentil,rice,turmeric,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,cayenne,cumin,date,tamarind,anise_seed,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coconut,mustard,cayenne,shrimp,vegetable_oil,turmeric,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,fenugreek,coconut,cumin,scallion,vegetable,pepper,turmeric,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cashew,cardamom,corn,almond,honey,pistachio,vegetable_oil,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,vinegar,cider,black_pepper,cumin,ginger,garlic,cinnamon,tamarind,turmeric,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,cilantro,onion,potato,cayenne,ginger,carrot,bell_pepper,vegetable_oil,egg,bread,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,tomato,cane_molasses,pepper,fenugreek,cumin,parmesan_cheese,scallion,garlic,ginger,olive_oil,coriander,egg,pea,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,olive_oil,lemon_juice,black_mustard_seed_oil,fennel,seed,soybean,mint,sunflower_oil,parsley,scallion,yogurt,lemon_peel,fenugreek,pepper,mustard,cauliflower,vegetable,coriander,onion,potato,cumin,bay,turmeric,,,,,,,,,
Asian,Indian,coriander,fenugreek,pepper,mustard,onion,cayenne,cumin,ginger,shrimp,garlic,tomato,vegetable_oil,rice,turmeric,,,,,,,,,,,,,,,,,,
Asian,Indian,lamb,olive_oil,cardamom,black_pepper,cumin,ginger,fennel,garlic,bell_pepper,,,,,,,,,,,,,,,,,,,,,,,
Asian,Indian,coriander,onion,cardamom,cayenne,chicken_broth,black_pepper,cumin,cinnamon,vegetable_oil,lentil,turmeric,,,,,,,,,,,,,,,,,,,,,
